"","src_subject_id","eventname","reshist_addr1_adi_wsum","reshist_addr1_adi_perc"
"4622","NDAR_INVCN8DWC2V","baseline_year_1_arm_1",117.46704,91
"4623","NDAR_INVCNCRDPTT","baseline_year_1_arm_1",93.30986,26
"4624","NDAR_INVCNEJ2G76","baseline_year_1_arm_1",86.75431,18
"4625","NDAR_INVCRLTE0K4","baseline_year_1_arm_1",79.017494,13
"4626","NDAR_INVCRM6V6NX","baseline_year_1_arm_1",109.022964,60
"4627","NDAR_INVCFPMDG7R","baseline_year_1_arm_1",NA,NA
"4628","NDAR_INVCFT8L45Y","baseline_year_1_arm_1",105.08546,47
"4629","NDAR_INVCK8BV0JF","baseline_year_1_arm_1",97.129776,31
"4630","NDAR_INVCK8WM58K","baseline_year_1_arm_1",99.985306,36
"4631","NDAR_INVCNFM9U01","baseline_year_1_arm_1",113.25552,75
"4632","NDAR_INVCNGUX127","baseline_year_1_arm_1",81.52135,14
"4633","NDAR_INVCRU3H91G","baseline_year_1_arm_1",66.96851,7
"4634","NDAR_INVCRY0YLTV","baseline_year_1_arm_1",112.95481,74
"4635","NDAR_INVCFYJ60VA","baseline_year_1_arm_1",86.99669,19
"4636","NDAR_INVCFYN2FEF","baseline_year_1_arm_1",62.91742,6
"4637","NDAR_INVCKB3W23J","baseline_year_1_arm_1",116.06077,86
"4638","NDAR_INVCKDU4DXE","baseline_year_1_arm_1",100.76262,37
"4639","NDAR_INVCKMG9A44","baseline_year_1_arm_1",85.122345,17
"4640","NDAR_INVCNW0CYU4","baseline_year_1_arm_1",66.07858,7
"4641","NDAR_INVCNYD3GCA","baseline_year_1_arm_1",101.77881,39
"4642","NDAR_INVCT178KT0","baseline_year_1_arm_1",95.61712,29
"4643","NDAR_INVCT1P8L38","baseline_year_1_arm_1",114.65776,81
"4644","NDAR_INVCG1XBZFD","baseline_year_1_arm_1",116.027504,86
"4645","NDAR_INVCG7XE3KT","baseline_year_1_arm_1",123.74381,100
"4646","NDAR_INVCG8XPP5D","baseline_year_1_arm_1",97.4742,32
"4647","NDAR_INVCKPFPG3N","baseline_year_1_arm_1",99.03562,34
"4648","NDAR_INVCKTT8HAT","baseline_year_1_arm_1",79.710785,13
"4649","NDAR_INVCNZEMPHG","baseline_year_1_arm_1",77.48639,12
"4650","NDAR_INVCP16BG12","baseline_year_1_arm_1",96.10793,29
"4651","NDAR_INVCT3X58XN","baseline_year_1_arm_1",108.61249,58
"4652","NDAR_INVCT6229CR","baseline_year_1_arm_1",113.86335,78
"4653","NDAR_INVCGBM7G8T","baseline_year_1_arm_1",99.135605,34
"4654","NDAR_INVCGEMFA5B","baseline_year_1_arm_1",69.76805,8
"4655","NDAR_INVCL18941F","baseline_year_1_arm_1",86.43913,18
"4656","NDAR_INVCL1R63XL","baseline_year_1_arm_1",15.633145,1
"4657","NDAR_INVCP2K1NFW","baseline_year_1_arm_1",105.93355,50
"4658","NDAR_INVCP3Z2564","baseline_year_1_arm_1",85.7309,18
"4659","NDAR_INVCT6N4C6Y","baseline_year_1_arm_1",48.88751,4
"4660","NDAR_INVCT6XB4BR","baseline_year_1_arm_1",117.34641,91
"4661","NDAR_INVCGHNP1DK","baseline_year_1_arm_1",98.21538,33
"4662","NDAR_INVCGLGYDAH","baseline_year_1_arm_1",75.39469,11
"4663","NDAR_INVCL50XAPB","baseline_year_1_arm_1",80.755615,14
"4664","NDAR_INVCL57VY2A","baseline_year_1_arm_1",8.063348,1
"4665","NDAR_INVCP854T1A","baseline_year_1_arm_1",86.34718,18
"4666","NDAR_INVCP9MXC42","baseline_year_1_arm_1",92.81106,25
"4667","NDAR_INVCTCGHXFZ","baseline_year_1_arm_1",121.24105,99
"4668","NDAR_INVCTDL9XAC","baseline_year_1_arm_1",97.65432,32
"4669","NDAR_INVCGMN92RW","baseline_year_1_arm_1",115.95389,86
"4670","NDAR_INVCGNRE8LG","baseline_year_1_arm_1",114.2908,79
"4671","NDAR_INVCL748RXE","baseline_year_1_arm_1",112.7135,73
"4672","NDAR_INVCL9HK006","baseline_year_1_arm_1",113.32235,75
"4673","NDAR_INVCLA2CZ2U","baseline_year_1_arm_1",110.16332,64
"4674","NDAR_INVCPAB62JD","baseline_year_1_arm_1",98.180626,33
"4675","NDAR_INVCPJCZKP2","baseline_year_1_arm_1",109.35835,61
"4676","NDAR_INVCTFL718M","baseline_year_1_arm_1",98.18706,33
"4677","NDAR_INVCTH2AK0B","baseline_year_1_arm_1",103.9345,44
"4678","NDAR_INVDWRFW2TP","baseline_year_1_arm_1",99.22526,35
"4679","NDAR_INVDWRM6BPD","baseline_year_1_arm_1",105.97705,50
"4680","NDAR_INVDHTK4H0L","baseline_year_1_arm_1",117.34641,91
"4681","NDAR_INVDHVY95MH","baseline_year_1_arm_1",114.92506,82
"4682","NDAR_INVDN3XE4ZK","baseline_year_1_arm_1",119.68354,96
"4683","NDAR_INVDN453NWJ","baseline_year_1_arm_1",103.17076,42
"4684","NDAR_INVDTL56WZU","baseline_year_1_arm_1",91.285614,23
"4685","NDAR_INVDTRERMG2","baseline_year_1_arm_1",98.72711,34
"4686","NDAR_INVDX53W9GM","baseline_year_1_arm_1",14.279168,1
"4687","NDAR_INVDX7DPE6L","baseline_year_1_arm_1",98.101654,33
"4688","NDAR_INVDJ1BBR1F","baseline_year_1_arm_1",95.170784,28
"4689","NDAR_INVDJ22WEAT","baseline_year_1_arm_1",105.56223,49
"4690","NDAR_INVDN5NUU7W","baseline_year_1_arm_1",85.8431,18
"4691","NDAR_INVDN6HKHAW","baseline_year_1_arm_1",99.090935,34
"4692","NDAR_INVDTWEMX2Z","baseline_year_1_arm_1",97.41564,31
"4693","NDAR_INVDU50FZ05","baseline_year_1_arm_1",82.22981,15
"4694","NDAR_INVDXEP8X66","baseline_year_1_arm_1",115.204475,83
"4695","NDAR_INVDXFPGCH8","baseline_year_1_arm_1",117.44785,91
"4696","NDAR_INVDJ81TV7Z","baseline_year_1_arm_1",99.47857,35
"4697","NDAR_INVDJDNYY46","baseline_year_1_arm_1",80.6235,14
"4698","NDAR_INVDNGGNJ0B","baseline_year_1_arm_1",95.484406,29
"4699","NDAR_INVDNLMD7DZ","baseline_year_1_arm_1",100.905624,38
"4700","NDAR_INVDNNCWZP6","baseline_year_1_arm_1",117.665695,92
"4701","NDAR_INVDU5EVD1W","baseline_year_1_arm_1",97.70155,32
"4702","NDAR_INVDU5LEWJK","baseline_year_1_arm_1",38.341644,3
"4703","NDAR_INVDXG3YU5W","baseline_year_1_arm_1",84.10638,16
"4704","NDAR_INVDXM5BDFW","baseline_year_1_arm_1",93.712395,26
