"","src_subject_id","eventname","reshist_addr1_svi_tot_20142018"
"121","NDAR_INV0AEBMADL","baseline_year_1_arm_1",0.6856
"122","NDAR_INV0AF2TMR4","baseline_year_1_arm_1",0.309
"123","NDAR_INV0AHJHA5D","baseline_year_1_arm_1",0.9213
"124","NDAR_INV0APJMRD1","baseline_year_1_arm_1",0.8019
"125","NDAR_INV0AUBJJJ4","baseline_year_1_arm_1",NA
"126","NDAR_INV0AYJMFMW","baseline_year_1_arm_1",0.8225
"127","NDAR_INV0AZFZ65C","baseline_year_1_arm_1",0.8064
"128","NDAR_INV0B0HVEYX","baseline_year_1_arm_1",0.2075
"129","NDAR_INV0B7UGM1D","baseline_year_1_arm_1",0.0029
"130","NDAR_INV0BAVEL0T","baseline_year_1_arm_1",0.0251
"131","NDAR_INV0BEHBEJ3","baseline_year_1_arm_1",0.6434
"132","NDAR_INV0A86UD86","baseline_year_1_arm_1",0.7642
"133","NDAR_INV0A87RKWD","baseline_year_1_arm_1",0.9037
"134","NDAR_INV0A9K5L4R","baseline_year_1_arm_1",0.1758
"135","NDAR_INV0AAKGYA2","baseline_year_1_arm_1",0.0657
"136","NDAR_INV0BEPJHU1","baseline_year_1_arm_1",0.0142
"137","NDAR_INV0BG53R96","baseline_year_1_arm_1",0.905
"138","NDAR_INV0C1ED337","baseline_year_1_arm_1",0.8617
"139","NDAR_INV0C471G23","baseline_year_1_arm_1",0.1069
"140","NDAR_INV0C765WK4","baseline_year_1_arm_1",0.107
"141","NDAR_INV0C7TZ6YW","baseline_year_1_arm_1",0.7154
"142","NDAR_INV0CBFTKR7","baseline_year_1_arm_1",0.111
"143","NDAR_INV0CBPKF6W","baseline_year_1_arm_1",0.0929
"144","NDAR_INV0CCEN5K2","baseline_year_1_arm_1",0.1764
"145","NDAR_INV0CCMBWPE","baseline_year_1_arm_1",0.171
"146","NDAR_INV0CCVJ39W","baseline_year_1_arm_1",0.4144
"147","NDAR_INV0CF1U8X8","baseline_year_1_arm_1",NA
